book_id,book_listing,book_author,book_title,book_publisher,book_place,book_year,book_edition,book_size,book_condition,book_notes,book_directory
1,,,"The American Printer, Vol",,,1928,,,good,,
6,"Bellange, Hippolyte",None,Hippolyte Bellange et son,Quantin,,1880,,,New cloth bound hard cover,,
14,Woodblock [Wood-Block] Printing,"Fletcher, F. Morley",Woodblock [Wood-Block] Printing (The Artistic Crafts Series of Technical Handbooks),Sir Isaac Pitman & Son,London,1916,,,,,
18,"Chagall, Marc",Arabische Nachte,Marc Chagall 26 Lithograp,"R.Piper & Co,",,1956,,,,,
22,Early Christian to Medieval Painting,"Volpe, Carlo",Early Christian to Medieval Painting (Art of the Western World,Golden Press,New York,1963,,,,,
23,Decouverte de la Peinture,"Berger, Rene",Decouverte de la Peinture,La Guilde du Livre Lausanne,"Lausanne, Switizerland",1958,,,,,
37,History of prints,Ferdinando Salamon,The history of prints,American Herit,NY,1972,,,very good condition,,
40,Hollywood,Otis Art Institute of L.A. County,Hollywood Collects catalo,,,1970,,,,,
41,"Hundertwasser, Friedrich",,Hundertwasser Landau Fine,,,,,,fine condition,,
46,Jugend Magazine,,"Compendium of German, Aus",,Munich,1909,,,fine,,
47,American Etchers Vol VII,"Burr, Elbert","American Etchers, Vol. VII",The Crafton Co,New York,,,,,,
53,"Lozowick, Louis",Janet Flint,The Prints of Louis Lozow,Hudson Hills P,New York,1982,,,New,,
55,"Marc, Franz",Botschaften An Den Prinzen Jussuff,Franz Marc,Piper-Bucherei,,1962,,,,,
58,"Masereel, Frans","Frans Masereel, Carl Stenheim",Chronik,Drei Masken Verlag,Munich,1922,XXIII/XXX; ed.30 on Japan,,,,
59,"Matisse, Henri",Centre Georges Pompidou,Henri Matisse 1904-1917,exhibition cat,"150 color plates, 524 pp",1993,,,soft cover creased otherw,,
62,"Nesch, Rolf","Intro. Alfred Hentzen, trans. Hans Rosenwald",Rolf Nesch,Universe book,NY,,,,,,
68,"Remington, Frederick",Peter Hassrick,"Frederick Remington: Paintings, drawings & sculptures in the Amon Carter Museum and the Sid W. Richardson Foundation Collections",Abrams,,1973,,,,,
69,"Renard, Jules","Jules Renard, Lithographs by Walter Stein",Natural History,Harvard Colleg,,1960,one of 600 copies; leathe,oblong 8to,fine,,
70,"Richter, Ludwig",D. Paul Mohn,Ludwig Richter,Velhagen & Kla,Bielefeld,1896,,,,,
74,"Shahn, Ben",Bernarda Bryson Shahn,Ben Shahn,Abrams,New York,1972,,,New,,
76,Sistine Chapel,D. Redig De Campos,The Sistine Chapel,Raynal,New York,,,,good condition,,
86,"Warhol, Andy",ed. Frayda Feldman...,"Andy Warhol Prints, Catal",Ronald Feldman,,1985,,,"as new, with dust jacket",,
87,"Warhol, Andy","Kurt benirschke (text), art Andy Warhol",Vanishing Animals,Spenger-Verlag,,,,,"fine, with dust jacket",,
92,"Whistler, James McNeill",Ronald Anderson & Anne Koval,Beyond the Myth; James Mc,Carroll & Graf,New York,1995,,,New,,
93,"Whistler, James McNeill",Lisa N. Peters,James McNeill Whistler,Smithmark,New York,1996,,,New,,
2,Archiv fur Buchgewerbe,,Archiv Fur Buchgewerbe,,Leipzig,1914,"Vol.5, No.51",,,issue celebrating the great Leipzig book fair of 1914; 40 photographs; other issues available upon request,
3,Art News,,"Art News, Annual Christmas Edition, Part II, 50 ye",,,11/1/195,,,,"articles by Malraux, Dorival, Hess;abour Ingres; Rembrandt (Slive), Fauves; other issues available on request",
4,Artist & the Book,,The Artist & the Book 1860-1960,Museum of Fine Arts,Boston,,First Edition,,"Slipcase worn, hardcover & interior very good",ex-libris Arnold & Karen Klein,
5,Atlantic Monthly,,The Atlantic Monthly,,,6/14/200,,,,"articles by Ralph Pulitzer, H.S. Canby, John Galsworthy et.al",
7,"Benton, Thomas Hart","Lynn Riggs, illustrations by Thomas Hart Benton",Green Grow the Lilacs (Source of,University of  Oklahoma Press,,1954,1119/1500,,fine,in slipcase; signed by the artist,
8,"Berman, Eugene",Eugene Berman,Imaginary Promenades in Italy,Pantheon Books,NY,1956,120/850,,,"signed in ink; cloth spine, heavy boards, slipcase",
10,"Bonnard, Pierre",Paul Verlaine,Bonnard illustrations Reproduction of Parallelement,Les Peintres du Livre,Paris,1960s,Editions LCL 1599/3000,,fine condition,slipcase,
11,"Braque, Georges",Andre Sauret,Braque Lithographe,Mourlot,,1963,3049/4125,,original glassine tattered,"color lithograph covers, frontispiece, title page decoration; 146 color plates; softcover; cardboard slipcase",
13,Broom Magazine,,Broom Magazine Vol. 4 No. 3,,,2/23/200,,,,"cover: woodcut by El Lissitzky; contents: art, poetry, essays by Grosz, Cowley et.al",
15,"Calder, Alexander",Richard Wilbur illustrated by Alexander Calder,A Bestiary,Spiral Press for Pantheon Books,NY,1955,,4vo,fine condition (tattered original glassine),signed in ink by author and artist; slipcase,
16,"Chagall, Marc",Franz Meyers,Marc Chagall,Abrams,New York,1963,,,bottom of spine creased,775pp  Signed and numbered,
